Age,Age_Category,Gender,State,City,Latitude,Longitude,Residence,Occupational_Status,Favourite_Movies,Movie_Genre
22,21-30,Female,Gujarat,Vadodara,22.3,73.2,Town/City,Student,The Hangover,Comedy
22,21-30,Female,Gujarat,Vadodara,22.3,73.2,Town/City,Student,The Intern,Comedy
40,31-40,Male,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Employed,Kurup,Thriller
40,31-40,Male,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Employed,Minnal Murali,Action
20,11-20,Female,Maharashtra,Mumbai,18.9667,72.8333,Metrpolitan,Student,Haseen Dilruba,Mystery
20,11-20,Female,Maharashtra,Mumbai,18.9667,72.8333,Metrpolitan,Student,Ludo,Anthology
20,11-20,Female,Maharashtra,Mumbai,18.9667,72.8333,Metrpolitan,Student,Spiderman: Into The Spiderverse,Sci-Fi
30,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Self Employed,The Courier,Thriller
30,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Self Employed,Jai Bhim,Mystery
30,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Self Employed,Shershaah,Action
21,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Student,Shyam Singha Roy,Historical
21,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Student,Ikkat,Romantic Comedy
21,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Student,Haseen Dilruba,Mystery
22,21-30,Female,Kerala,Kannur,11.8745,75.3704,Rural,Student,Minnal Murali,Action
22,21-30,Female,Kerala,Kannur,11.8745,75.3704,Rural,Student,Bro Daddy,Comedy
34,31-40,Female,Kerala,Sulthan Bathery,11.6629,76.257,Town/City,Employed,Erin Brockovich,Drama
34,31-40,Female,Kerala,Sulthan Bathery,11.6629,76.257,Town/City,Employed,The Blind Side,Drama
34,31-40,Female,Kerala,Sulthan Bathery,11.6629,76.257,Town/City,Employed,The Devil's Advocate,Horror
20,11-20,Male,Karnataka,Mysore,12.3086,76.6531,Town/City,Student,Fast And Furious saga,Crime
20,11-20,Male,Karnataka,Mysore,12.3086,76.6531,Town/City,Student,Avengers,Superhero
20,11-20,Male,Karnataka,Mysore,12.3086,76.6531,Town/City,Student,Spiderman,Superhero
18,11-20,Female,Kerala,Kottayam,9.5916,76.5222,Town/City,Unemployed,Mimi,Drama
18,11-20,Female,Kerala,Kottayam,9.5916,76.5222,Town/City,Unemployed,Minnal Murali,Action
22,21-30,Female,Tamil Nadu,Chennai,13.0825,80.275,Metrpolitan,Student,Sarpattai Parambarai,Action
